epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1845.03,1.12984,0.8932,1.18621,0.88078,0.68065,0.74428,0.52056,0.91025,0.65431,0.99397,0.000726694,0.000726694,0.000726694
43,1889.14,1.10783,0.87805,1.17273,0.9216,0.65346,0.74796,0.53958,0.87651,0.63825,0.99626,0.000720028,0.000720028,0.000720028
44,1933.15,1.10475,0.86858,1.17743,0.8639,0.6585,0.74062,0.54586,0.83068,0.64859,0.97468,0.000713362,0.000713362,0.000713362
45,1977.57,1.12618,0.90226,1.18632,0.88355,0.65907,0.74085,0.54117,0.85176,0.64816,0.97871,0.000706696,0.000706696,0.000706696
46,2021.68,1.10114,0.85034,1.16622,0.85155,0.69034,0.75772,0.5389,0.9098,0.63635,0.98912,0.00070003,0.00070003,0.00070003
47,2065.93,1.092,0.85268,1.16182,0.89834,0.66749,0.75762,0.54453,0.87377,0.62327,0.97717,0.000693364,0.000693364,0.000693364
48,2109.79,1.08443,0.82778,1.15639,0.91055,0.66644,0.74479,0.53662,0.88032,0.65083,0.9746,0.000686698,0.000686698,0.000686698
49,2154.19,1.09986,0.85637,1.16771,0.9058,0.66278,0.74742,0.53246,0.88548,0.66289,0.97456,0.000680032,0.000680032,0.000680032
50,2198.13,1.08116,0.83143,1.15491,0.86837,0.67584,0.74205,0.53278,0.87512,0.65183,0.972,0.000673366,0.000673366,0.000673366
51,2242.27,1.07303,0.84367,1.15807,0.88234,0.67528,0.75593,0.54866,0.85467,0.62329,0.98169,0.0006667,0.0006667,0.0006667
52,2286.36,1.06912,0.84318,1.15102,0.86625,0.69729,0.75837,0.55643,0.81007,0.61575,0.95935,0.000660034,0.000660034,0.000660034
53,2330.26,1.08021,0.8396,1.15656,0.88378,0.68958,0.75984,0.54101,0.8853,0.62826,0.97339,0.000653368,0.000653368,0.000653368
54,2374.36,1.06585,0.82541,1.15196,0.91228,0.68732,0.7576,0.55064,0.83868,0.62155,0.95781,0.000646702,0.000646702,0.000646702
55,2418.64,1.05766,0.81481,1.14187,0.91201,0.67625,0.75884,0.56172,0.76311,0.59811,0.94532,0.000640036,0.000640036,0.000640036
56,2462.68,1.0239,0.79478,1.1327,0.90822,0.66895,0.75545,0.55815,0.79692,0.6018,0.94424,0.00063337,0.00063337,0.00063337
57,2506.71,1.02012,0.80238,1.12587,0.9066,0.65804,0.74935,0.5551,0.82799,0.62773,0.95567,0.000626704,0.000626704,0.000626704
58,2550.38,1.00739,0.79553,1.11442,0.90522,0.6733,0.75251,0.555,0.81092,0.63586,0.94836,0.000620038,0.000620038,0.000620038
