epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1317.65,1.18579,0.9688,1.18958,0.82844,0.5977,0.68888,0.4817,0.94829,0.7689,0.98614,0.000726694,0.000726694,0.000726694
43,1347.82,1.18751,0.97784,1.17934,0.87357,0.61773,0.70094,0.47502,0.96489,0.76827,1.0018,0.000720028,0.000720028,0.000720028
44,1377.72,1.17004,0.96787,1.18724,0.77402,0.61809,0.6796,0.47079,0.96866,0.77121,1.00362,0.000713362,0.000713362,0.000713362
45,1408.43,1.14756,0.92934,1.16484,0.85232,0.61157,0.69163,0.49596,0.8894,0.7512,0.97509,0.000706696,0.000706696,0.000706696
46,1438.18,1.15516,0.93633,1.15902,0.88148,0.63669,0.7166,0.51116,0.88174,0.70416,0.97092,0.00070003,0.00070003,0.00070003
47,1468.4,1.16634,0.95575,1.17605,0.85893,0.63455,0.70134,0.49725,0.94157,0.74651,0.98574,0.000693364,0.000693364,0.000693364
48,1499.33,1.15193,0.93682,1.17154,0.87506,0.6263,0.71567,0.49603,0.91713,0.71425,0.97544,0.000686698,0.000686698,0.000686698
49,1530.01,1.1365,0.92259,1.15437,0.88755,0.64168,0.71873,0.50294,0.89249,0.71993,0.95996,0.000680032,0.000680032,0.000680032
50,1560.42,1.13757,0.90898,1.15109,0.85865,0.62182,0.70981,0.5052,0.92479,0.71875,0.97062,0.000673366,0.000673366,0.000673366
51,1590.71,1.11353,0.89299,1.13784,0.77427,0.63564,0.69071,0.49198,0.92592,0.75291,0.97407,0.0006667,0.0006667,0.0006667
52,1620.61,1.10966,0.89046,1.14438,0.85056,0.63072,0.71454,0.51718,0.86151,0.69327,0.9537,0.000660034,0.000660034,0.000660034
53,1651.08,1.12362,0.90046,1.14681,0.86884,0.62662,0.70965,0.51854,0.83269,0.69276,0.95214,0.000653368,0.000653368,0.000653368
54,1681.87,1.13707,0.91421,1.15331,0.88037,0.62044,0.72097,0.50486,0.86875,0.70329,0.95964,0.000646702,0.000646702,0.000646702
55,1711.98,1.11356,0.90338,1.14565,0.87142,0.62314,0.71306,0.50893,0.91185,0.71165,0.97001,0.000640036,0.000640036,0.000640036
56,1742.33,1.12063,0.88856,1.14707,0.87743,0.61495,0.71286,0.51631,0.82966,0.69544,0.95287,0.00063337,0.00063337,0.00063337
57,1772.72,1.1197,0.90751,1.14275,0.81492,0.64411,0.71484,0.50541,0.8485,0.73183,0.96385,0.000626704,0.000626704,0.000626704
58,1803.35,1.12064,0.8763,1.14097,0.87882,0.64054,0.72588,0.50782,0.90288,0.68962,0.95501,0.000620038,0.000620038,0.000620038
59,1834.29,1.10304,0.89057,1.14491,0.85126,0.65577,0.72111,0.51712,0.85933,0.72614,0.97046,0.000613372,0.000613372,0.000613372
